186.0, 89.456486, 7.8
187.0, 89.531293, 7.2
188.0, 89.600577, 6.7
189.0, 89.664334, 6.1
190.0, 89.722560, 5.5
191.0, 89.775252, 5.0
192.0, 89.822406, 4.4
193.0, 89.864019, 3.9
194.0, 89.900089, 3.3
195.0, 89.930613, 2.8
196.0, 89.955590, 2.2
197.0, 89.975019, 1.7
198.0, 89.988897, 1.1
199.0, 89.997224, 0.6
200.0, 90.000000, 0.0
201.0, 89.997224, 0.6
202.0, 89.988897, 1.1
203.0, 89.975019, 1.7
204.0, 89.955590, 2.2
205.0, 89.930613, 2.8
206.0, 89.900089, 3.3
207.0, 89.864019, 3.9
208.0, 89.822406, 4.4
209.0, 89.775252, 5.0
210.0, 89.722560, 5.5
211.0, 89.664334, 6.1
212.0, 89.600577, 6.7
213.0, 89.531293, 7.2
214.0, 89.456486, 7.8
215.0, 89.376161, 8.3
216.0, 89.290323, 8.9
217.0, 89.198977, 9.4
218.0, 89.102129, 10.0
219.0, 88.999785, 10.5
220.0, 88.891951, 11.1
221.0, 88.778633, 11.6
222.0, 88.659839, 12.2
223.0, 88.535577, 12.7
224.0, 88.405853, 13.2
225.0, 88.270675, 13.8
226.0, 88.130053, 14.3
227.0, 87.983994, 14.9
228.0, 87.832509, 15.4
229.0, 87.675605, 16.0
230.0, 87.513293, 16.5
231.0, 87.345583, 17.0
232.0, 87.172485, 17.6
233.0, 86.994009, 18.1
234.0, 86.810168, 18.7
235.0, 86.620971, 19.2
236.0, 86.426432, 19.7
237.0, 86.226561, 20.3
238.0, 86.021371, 20.8
239.0, 85.810876, 21.3
240.0, 85.595086, 21.8
241.0, 85.374018, 22.4
242.0, 85.147682, 22.9
243.0, 84.916095, 23.4
244.0, 84.679269, 23.9
245.0, 84.437220, 24.5
246.0, 84.189963, 25.0
247.0, 83.937512, 25.5
248.0, 83.679884, 26.0
249.0, 83.417094, 26.5
250.0, 83.149158, 27.1
251.0, 82.876093, 27.6
252.0, 82.597916, 28.1
253.0, 82.314644, 28.6
254.0, 82.026295, 29.1
255.0, 81.732886, 29.6
256.0, 81.434435, 30.1
257.0, 81.130961, 30.6
258.0, 80.822482, 31.1
259.0, 80.509018, 31.6
260.0, 80.190587, 32.1
261.0, 79.867210, 32.6
262.0, 79.538907, 33.1
263.0, 79.205697, 33.6
264.0, 78.867601, 34.1
265.0, 78.524641, 34.5
266.0, 78.176836, 35.0
267.0, 77.824210, 35.5
268.0, 77.466782, 36.0
269.0, 77.104577, 36.5
270.0, 76.737615, 36.9
271.0, 76.365919, 37.4
272.0, 75.989513, 37.9
273.0, 75.608420, 38.3
274.0, 75.222663, 38.8
275.0, 74.832265, 39.3
276.0, 74.437252, 39.7
277.0, 74.037647, 40.2
278.0, 73.633475, 40.6
279.0, 73.224760, 41.1
280.0, 72.811529, 41.5
281.0, 72.393807, 42.0
282.0, 71.971619, 42.4
283.0, 71.544992, 42.9
284.0, 71.113951, 43.3
285.0, 70.678524, 43.8
286.0, 70.238737, 44.2
287.0, 69.794617, 44.6
288.0, 69.346192, 45.1
289.0, 68.893489, 45.5
290.0, 68.436537, 45.9
291.0, 67.975363, 46.3
